Date,Incident ID,Assigned Brigade,Time Assigned,Estimated End Time,Deadline
2023-09-01,M00311494,A,2023-09-01 05:10:00,2023-09-01 05:40:00,2023-09-02 05:10:00
2023-09-01,M00311488,B,2023-09-01 01:45:00,2023-09-01 02:15:00,2023-09-02 01:45:00
2023-09-01,M00311737,C,2023-09-01 13:37:18,2023-09-01 14:07:18,2023-09-02 13:37:18
2023-09-01,M00312234,D,2023-09-01 16:00:18,2023-09-01 16:30:18,2023-09-02 16:00:18
2023-09-02,M00311886,A,2023-09-02 02:07:00,2023-09-02 02:37:00,2023-09-03 02:07:00
2023-09-02,M00311882,B,2023-09-02 10:59:00,2023-09-02 11:29:00,2023-09-02 14:59:00
2023-09-02,M00311689,C,2023-09-02 16:31:00,2023-09-02 17:01:00,2023-09-03 16:31:00
2023-09-02,M00312021,D,2023-09-02 21:21:00,2023-09-02 21:51:00,2023-09-03 21:21:00
2023-09-02,M00311673,D_new,2023-09-02 02:07:00,2023-09-02 02:37:00,2023-09-03 02:07:00
2023-09-03,M00311696,A,2023-09-03 00:28:00,2023-09-03 00:58:00,2023-09-04 00:28:00
2023-09-03,M00311938,B,2023-09-03 08:13:00,2023-09-03 08:43:00,2023-09-04 08:13:00
2023-09-03,M00311941,C,2023-09-03 09:57:00,2023-09-03 10:27:00,2023-09-10 09:57:00
2023-09-04,M00312058,A,2023-09-04 02:10:00,2023-09-04 02:40:00,2023-09-05 02:10:00
2023-09-04,M00312209,B,2023-09-04 11:24:00,2023-09-04 11:54:00,2023-09-05 11:24:00
2023-09-04,M00312227,C,2023-09-04 16:05:00,2023-09-04 16:35:00,2023-09-05 16:05:00
2023-09-04,M00312059,D,2023-09-04 02:13:00,2023-09-04 02:43:00,2023-09-04 06:13:00
2023-09-04,M00312136,D_new,2023-09-04 11:29:00,2023-09-04 11:59:00,2023-09-04 15:29:00
2023-09-05,M00312270,A,2023-09-05 11:42:23,2023-09-05 12:12:23,2023-09-12 11:42:23
2023-09-05,M00312386,B,2023-09-05 15:35:00,2023-09-05 16:05:00,2023-09-05 19:35:00
2023-09-05,M00312271,C,2023-09-05 12:08:00,2023-09-05 12:38:00,2023-09-08 12:08:00
2023-09-05,M00312182,D,2023-09-05 15:31:00,2023-09-05 16:01:00,2023-09-06 15:31:00
2023-09-05,M00312359,D_new,2023-09-05 10:54:00,2023-09-05 11:24:00,2023-09-06 10:54:00
2023-09-06,M00312605,A,2023-09-06 01:01:00,2023-09-06 01:31:00,2023-09-07 01:01:00
2023-09-06,M00312538,B,2023-09-06 14:47:00,2023-09-06 15:17:00,2023-09-09 14:47:00
2023-09-06,M00312447,C,2023-09-06 14:13:02,2023-09-06 14:43:02,2023-09-07 14:13:02
2023-09-06,M00312194,D,2023-09-06 00:03:00,2023-09-06 00:33:00,2023-09-07 00:03:00
2023-09-06,M00312504,D_new,2023-09-06 01:05:00,2023-09-06 01:35:00,2023-09-06 05:05:00
2023-09-07,M00312563,A,2023-09-07 00:13:00,2023-09-07 00:43:00,2023-09-10 00:13:00
2023-09-07,M00312595,B,2023-09-07 11:42:23,2023-09-07 12:12:23,2023-09-07 17:42:23
2023-09-07,M00312582,C,2023-09-07 09:17:00,2023-09-07 09:47:00,2023-09-08 09:17:00
2023-09-07,M00312642,D,2023-09-07 09:40:00,2023-09-07 10:10:00,2023-09-08 09:40:00
2023-09-07,M00312804,D_new,2023-09-07 10:51:26,2023-09-07 11:21:26,2023-09-10 10:51:26
2023-09-08,M00312736,A,2023-09-08 01:08:00,2023-09-08 01:38:00,2023-09-15 01:08:00
2023-09-08,M00312844,B,2023-09-08 10:17:00,2023-09-08 10:47:00,2023-09-15 10:17:00
2023-09-08,M00312827,C,2023-09-08 04:33:00,2023-09-08 05:03:00,2023-09-15 04:33:00
2023-09-08,M00312742,D,2023-09-08 03:30:00,2023-09-08 04:00:00,2023-09-15 03:30:00
2023-09-08,M00312886,D_new,2023-09-08 21:02:00,2023-09-08 21:32:00,2023-09-09 03:02:00
2023-09-09,M00312775,A,2023-09-09 08:25:00,2023-09-09 08:55:00,2023-09-16 08:25:00
2023-09-09,M00312904,B,2023-09-09 10:50:00,2023-09-09 11:20:00,2023-09-10 10:50:00
2023-09-09,M00313002,C,2023-09-09 18:11:00,2023-09-09 18:41:00,2023-09-10 18:11:00
2023-09-10,M00312956,A,2023-09-10 15:19:00,2023-09-10 15:49:00,2023-09-17 15:19:00
2023-09-10,M00312966,B,2023-09-10 17:18:00,2023-09-10 17:48:00,2023-09-13 17:18:00
2023-09-11,M00313130,A,2023-09-11 10:13:00,2023-09-11 10:43:00,2023-09-18 10:13:00
2023-09-11,M00313206,B,2023-09-11 10:13:00,2023-09-11 10:43:00,2023-09-18 10:13:00
2023-09-11,M00313157,C,2023-09-11 16:25:15,2023-09-11 16:55:15,2023-09-18 16:25:15
2023-09-11,M00312981,D,2023-09-11 09:36:00,2023-09-11 10:06:00,2023-09-11 13:36:00
2023-09-11,M00313131,D_new,2023-09-11 10:16:00,2023-09-11 10:46:00,2023-09-11 18:16:00
2023-09-12,M00313236,A,2023-09-12 12:23:17,2023-09-12 12:53:17,2023-09-12 18:23:17
2023-09-12,M00313195,B,2023-09-12 10:15:00,2023-09-12 10:45:00,2023-09-19 10:15:00
2023-09-12,M00313319,C,2023-09-12 19:03:00,2023-09-12 19:33:00,2023-09-13 03:03:00
2023-09-12,M00313415,D,2023-09-12 14:10:00,2023-09-12 14:40:00,2023-09-13 14:10:00
2023-09-13,M00313467,A,2023-09-13 05:21:00,2023-09-13 05:51:00,2023-09-16 05:21:00
