№ МИ;Т события;STATUS MI;PRIORITY;Adress;Техописание;Решение;Влияние на сервис/Доступность;FINAL_REASON;Группа исполнителя;Причина;EQUIPMENT;Крайний срок;Причина превышения SLA;Тип МИ;Описание решения;EADR;Широта;Долгота;Полный адрес
M00311886;YYYY-07-DD 02:07:SS;Закрыт;3;Москва, Астрадамская улица, д.7А;"a611-23-msan22
г.Москва, улица Астрадамская, д.7А
10.30.108.133
Переход на ИБП
Прошлый МИ: M00311673";Неподтвержденный МИ;Отсутствие влияния на сервис;Неисправность оборуд. электропитания/электроосвещения;ЦАВРиР\ОАВР;Переход на ИБП;Huawei MA5616 MSAN;YYYY-07-DD 02:07:SS;;1;;40007;55,8120002746582;37,5626983642578;РФ, Москва, Северный АО, Тимирязевский район, Астрадамская улица
M00311882;YYYY-59-DD 10:59:SS;Закрыт;0;Москва, Астрадамская улица, д.7А;"MSAN
a611-23-msan22
г.Москва, улица Астрадамская, д.7А
10.30.108.133
Недоступно оборудование.";ЭиКО. Переключения на питающей сети или ТП МОЭСК;Полное отсутствие сервиса;Отсутствие электропитания оборудования сети;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;Huawei MA5616 MSAN;YYYY-59-DD 14:59:SS;;1;Включили АЗ в Э/Щ.;40007;55,8120002746582;37,5626983642578;РФ, Москва, Северный АО, Тимирязевский район, Астрадамская улица
M00311798;YYYY-38-DD 13:38:SS;Закрыт;3;Москва, улица Винокурова, д.12 к.1;"BatteryOffline
Отключены батареи в: 
a126-26-msan20
г.Москва, улица Винокурова, д.12 к.1
10.30.5.67";Замена оборудования;Отсутствие влияния на сервис;Отсутствие электропитания оборудования сети;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;ZTE 9806H MSAN;YYYY-38-DD 13:38:SS;;1;;115723;55,6870002746582;37,5896987915039;РФ, Москва, Юго-Западный АО, Академический район, улица Винокурова
M00311684;YYYY-58-DD 14:58:SS;Закрыт;3;Москва, улица Гримау, д.9 к.1;"BatteryOffline
Отключены батареи в: 
a126-70-msan20
г.Москва, улица Гримау, д.9 к.1
10.30.6.230";Замена оборудования;Отсутствие влияния на сервис;Отсутствие электропитания оборудования сети;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;ZTE 9806H MSAN;YYYY-58-DD 14:58:SS;;1;;144622;55,6889991760254;37,5797996520996;РФ, Москва, Юго-Западный АО, Академический район, улица Гримау
M00311689;YYYY-31-DD 16:31:SS;Закрыт;3;Москва, Венёвская улица, д.10;Отклонение температурного режима на a716-25-msan20;ЭиКО. Сбой в работе/Сброс аварии/Перезапуск;Отсутствие влияния на сервис;Нарушение температурного режима;ЦАВРиР\ОАВР;ЭиКО: Нарушение температурного режима;Huawei MA5616 MSAN;YYYY-31-DD 16:31:SS;;1;;95616;55,5439987182617;37,5466003417969;РФ, Москва, Юго-Западный АО, район Южное Бутово, Венёвская улица
M00312021;YYYY-21-DD 21:21:SS;Закрыт;3;Москва, Венёвская улица, д.10;Отклонение температурного режима на a716-25-msan20;ЭиКО. Сбой в работе/Сброс аварии/Перезапуск;Отсутствие влияния на сервис;Нарушение температурного режима;ЦАВРиР\ОАВР;ЭиКО: Нарушение температурного режима;Huawei MA5616 MSAN;YYYY-21-DD 21:21:SS;;1;;95616;55,5439987182617;37,5466003417969;РФ, Москва, Юго-Западный АО, район Южное Бутово, Венёвская улица
M00312058;YYYY-10-DD 02:10:SS;Закрыт;3;Москва, улица Руставели, д.9;"a618-04-msan20
г.Москва, улица Руставели, д.9
10.30.154.53
Переход на ИБП";Перезагрузка;Отсутствие влияния на сервис;Отсутствие электропитания оборудования сети;ЦАВРиР\ОАВР;Переход на ИБП;ZTE 9806H MSAN;YYYY-10-DD 02:10:SS;;1;;95510;55,8133010864258;37,5914001464844;РФ, Москва, Северо-Восточный АО, Бутырский район, улица Руставели
M00312209;YYYY-24-DD 11:24:SS;Закрыт;3;Москва, Абрамцевская улица, д.11 к.1;"a209-22-msan20
г.Москва, улица Абрамцевская, д.11 к.1
10.30.133.163
Переход на ИБП";ЭиКО. Переключения на питающей сети или ТП МОЭСК;Отсутствие влияния на сервис;Отсутствие электропитания оборудования сети;ЦАВРиР\ОАВР;Переход на ИБП;Huawei MA5616 MSAN;YYYY-24-DD 11:24:SS;;1;восстановление шт. электропитания;15803;55,9038009643555;37,5684013366699;РФ, Москва, Северо-Восточный АО, район Лианозово, Абрамцевская улица
M00312227;YYYY-05-DD 16:05:SS;Закрыт;3;Москва, Кривоколенный переулок, д.5 стр.4;"a621-110-msan20
г.Москва, переулок Кривоколенный, д.5 стр.4
10.30.139.239
Переход на ИБП";ЭиКО. Переключения на питающей сети или ТП МОЭСК;Отсутствие влияния на сервис;Отсутствие электропитания оборудования сети;ЦАВРиР\ОАВР;Переход на ИБП;Huawei MA5616 MSAN;YYYY-05-DD 16:05:SS;;1;восстановление шт. электропитания;102960;55,7616996765137;37,6349983215332;РФ, Москва, Центральный АО, Басманный район, Кривоколенный переулок
M00312236;YYYY-27-DD 18:27:SS;Закрыт;5;;"FTTB UPS отсутствует входное напряжение 
10.17.213.30
г.Раменское, улица Октябрьская, д.59/3";ЭиКО. Переключения на питающей сети или ТП МОЭСК;Отсутствие влияния на сервис;Отсутствие электропитания по 1 или 2 лучам/переход на АКБ;ЦАВРиР\ОАВР;Переход на ИБП;MEGATEC NETAGENT UPS;YYYY-27-DD 18:27:SS;;1;;386772;;;РФ, Московская, город Раменское, рабочий поселок Ильинский, улица Октябрьская
M00312270;YYYY-42-DD 11:42:SS;Закрыт;5;Москва, улица Гарибальди, д.28 к.1;"АТШ-120-03-SHDSL-RACK1
10.30.3.81
улица Гарибальди, д.28, корп.1

решение в M00312365";Дубль;Отсутствие влияния на сервис;MSAN. Hardware;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;;YYYY-42-DD 11:42:SS;;1;;38345;55,6701011657715;37,5502014160156;РФ, Москва, Юго-Западный АО, Обручевский район, улица Гарибальди
M00312386;YYYY-35-DD 15:35:SS;Закрыт;0;Москва, улица Маршала Тухачевского, д.34;"MSAN

г.Москва, улица Маршала Тухачевского, д.34
10.30.144.204
Недоступно оборудование.";ЭиКО.Сбой в работе/Сброс аварии/Перезапуск;Полное отсутствие сервиса;Отсутствие электропитания по 1 или 2 лучам/переход на АКБ;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;Nateks Orion-3 MiniRack;YYYY-35-DD 19:35:SS;;1;;120777;55,785099029541;37,4719009399414;РФ, Москва, Северо-Западный АО, район Хорошево-Мневники, улица Маршала Тухачевского
M00312271;YYYY-08-DD 12:08:SS;Закрыт;4;Москва, улица Народного Ополчения, д.24;Ошибка работы вентилятора на a191-53-msan21;ЭиКО. Сбой в работе/Сброс аварии/Перезапуск;Отсутствие влияния на сервис;Нарушение температурного режима;ЦАВРиР\ОАВР;ЭиКО: Нарушение температурного режима;Huawei MA5616 MSAN;YYYY-08-DD 12:08:SS;;1;;90860;55,7798004150391;37,4813995361328;РФ, Москва, Северо-Западный АО, район Хорошево-Мневники, улица Народного Ополчения
M00312182;YYYY-31-DD 15:31:SS;Закрыт;3;Москва, улица Декабристов, д.35А;"MSAN
a203-68-msan21
г.Москва, улица Декабристов, д.35А
10.30.136.234
Недоступно оборудование.";ЭиКО.Сбой в работе/Сброс аварии/Перезапуск;Полное отсутствие сервиса;MSAN. Hardware;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;Huawei MA5616 MSAN;YYYY-31-DD 15:31:SS;;1;На мсане нет абонентов;88720;55,8620986938477;37,6165008544922;РФ, Москва, Северо-Восточный АО, район Отрадное, улица Декабристов
M00312605;YYYY-01-DD 01:01:SS;Закрыт;3;Москва, улица Руставели, д.9;"a618-04-msan20
г.Москва, улица Руставели, д.9
10.30.154.53
Переход на ИБП
Прошлый МИ: M00312604";Перезагрузка;Отсутствие влияния на сервис;Неисправность оборуд. электропитания/электроосвещения;ЦАВРиР\ОАВР;Переход на ИБП;ZTE 9806H MSAN;YYYY-01-DD 01:01:SS;;1;включили автомат;95510;55,8133010864258;37,5914001464844;РФ, Москва, Северо-Восточный АО, Бутырский район, улица Руставели
M00312538;YYYY-47-DD 14:47:SS;Закрыт;4;Москва, Профсоюзная улица, д.152 к.4;Сработка датчика задымления на a337-01-msan22;Перезагрузка;Отсутствие влияния на сервис;MSAN. Hardware;ЦАВРиР\ОАВР;ЭиКО: Нарушение температурного режима;Huawei MA5616 MSAN;YYYY-47-DD 14:47:SS;;1;;108505;55,6236991882324;37,5036010742188;РФ, Москва, Юго-Западный АО, район Теплый Стан, Профсоюзная улица
M00312447;YYYY-13-DD 14:13:SS;Закрыт;3;Москва, шоссе Коровинское, д.26/2;"МИ после работ W00024069
BatteryLoopOffline
Авария датчика АКБ в: 
a905-48-msan20
г.Москва, шоссе Коровинское, д.26/2
10.30.135.134";Неподтвержденный МИ;Отсутствие влияния на сервис;MSAN. Hardware;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;Huawei MA5616 MSAN;YYYY-13-DD 14:13:SS;;1;;200;55,8832015991211;37,5195007324219;РФ, Москва, Северный АО, Дмитровский район, Коровинское шоссе
M00312736;YYYY-08-DD 01:08:SS;Закрыт;5;Москва, улица Коненкова, д.9;Ошибка работы вентилятора на a206-23-msan21;ЭиКО. Сбой в работе/Сброс аварии/Перезапуск;Отсутствие влияния на сервис;Нарушение температурного режима;ЦАВРиР\ОАВР;ЭиКО: Нарушение температурного режима;Huawei MA5616 MSAN;YYYY-08-DD 01:08:SS;;1;;75045;55,8899993896484;37,6054992675781;РФ, Москва, Северо-Восточный АО, район Бибирево, улица Коненкова
M00312844;YYYY-17-DD 10:17:SS;Закрыт;5;Москва, Алтуфьевское шоссе, д.60 к.2;"901-458/3-1

LOS на портах OLT
Пропадание оптического сигнала в сторону ONT
Список портов в ресурсах";Неподтвержденный МИ;Отсутствие влияния на сервис;OLT. Hardware;ЦАВРиР\ОАВР;OLT. Оборудование недоступно;Huawei PON 5600T;YYYY-17-DD 10:17:SS;;1;;33430;55,8830986022949;37,5895004272461;РФ, Москва, Северо-Восточный АО, Алтуфьевский район, Алтуфьевское шоссе
M00312194;YYYY-03-DD 00:03:SS;Закрыт;3;Москва, улица Декабристов, д.35А;"MSAN
a203-68-msan21
г.Москва, улица Декабристов, д.35А
10.30.136.234
Недоступно оборудование.";Дубль;Полное отсутствие сервиса;MSAN. Hardware;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;Huawei MA5616 MSAN;YYYY-03-DD 00:03:SS;;1;На мсане нет абонентов;88720;55,8620986938477;37,6165008544922;РФ, Москва, Северо-Восточный АО, район Отрадное, улица Декабристов
M00312359;YYYY-54-DD 10:54:SS;Закрыт;3;Москва, 1-я Мелитопольская улица, д.8;"MSAN
a712-10-msan20
г.Москва, улица 1-я Мелитопольская, д.8
10.30.120.162
Ошибка карты
Lineboard_H835CALE_0_1_Failed";Проблема с оборудованием. Замена карты;Полное отсутствие сервиса;MSAN. Hardware;ЦАВРиР\ОАВР;MSAN. Оборудование недоступно;Huawei MA5616 MSAN;YYYY-54-DD 10:54:SS;;1;Заменили карту, поставили тестовый модем и увидели линк.;145678;55,5400009155273;37,5793991088867;РФ, Москва, Юго-Западный АО, район Южное Бутово, 1-я Мелитопольская улица
