Date,Incident ID,Assigned Brigade,Incident Type,Time Start,Time End
2023-09-01,M00311494,A,"a618-04-msan20
г.Москва, улица Руставели, д.9
10.30.154.53
Переход на ИБП",2023-09-01 05:10:00,2023-09-02 05:10:00
2023-09-01,M00311488,B,Отклонение температурного режима на a483-48-msan20,2023-09-01 01:45:00,2023-09-02 01:45:00
2023-09-01,M00311737,A,"10-009-1005-PON
10-009-450/11-0
10.57.51.178
Красногорск, бульвар Павшинский, д.11
Высокое затухание на магистрали",2023-09-01 13:37:18,2023-09-02 13:37:18
2023-09-01,M00312234,A,"МИ открыт по мониторингу обращений абонентов
РШ 494-120, Р 300
ул. Свободы, д.91 к.1
Массовые обращения с распределения",2023-09-01 16:00:18,2023-09-02 16:00:18
2023-09-02,M00311892,A,"КСК некритическая авария ЭПУ
#77-700
г.Москва, улица Большая Косинская, д.14 стр.1
Авария Выпрямителей Powerpack",2023-09-02 12:19:00,2023-09-09 12:19:00
2023-09-02,M00311913,A,"КСК некритическая авария ЭПУ
#V-190-1
г.Москва, улица Авиационная, д.57 стр.1
Авария выпрямителя ЭПУ1 Powerpack",2023-09-02 19:21:00,2023-09-09 19:21:00
2023-09-02,M00311674,B,"BatteryOffline
Отключены батареи в: 
a397-26-msan20
г.Москва, улица Ясеневая, д.42 к.1
10.30.70.196",2023-09-02 04:02:00,2023-09-09 04:02:00
2023-09-02,M00311886,C,"a611-23-msan22
г.Москва, улица Астрадамская, д.7А
10.30.108.133
Переход на ИБП
Прошлый МИ: M00311673",2023-09-02 02:07:00,2023-09-03 02:07:00
2023-09-02,M00311798,B,"BatteryOffline
Отключены батареи в: 
a126-26-msan20
г.Москва, улица Винокурова, д.12 к.1
10.30.5.67",2023-09-02 13:38:00,2023-09-03 13:38:00
2023-09-02,M00311684,B,"BatteryOffline
Отключены батареи в: 
a126-70-msan20
г.Москва, улица Гримау, д.9 к.1
10.30.6.230",2023-09-02 14:58:00,2023-09-03 14:58:00
