Date,Incident ID,Assigned Brigade,Incident Type,Time Assigned,Estimated End Time
2023-09-01,M00311488,D,Отклонение температурного режима на a483-48-msan20,2023-11-29 15:28:00,2023-11-29 15:58:00
2023-09-01,M00311494,D,"a618-04-msan20
г.Москва, улица Руставели, д.9
10.30.154.53
Переход на ИБП",2023-11-29 15:58:00,2023-11-29 16:28:00
2023-09-01,M00311737,D,"10-009-1005-PON
10-009-450/11-0
10.57.51.178
Красногорск, бульвар Павшинский, д.11
Высокое затухание на магистрали",2023-11-29 16:28:00,2023-11-29 16:58:00
2023-09-01,M00312234,D,"МИ открыт по мониторингу обращений абонентов
РШ 494-120, Р 300
ул. Свободы, д.91 к.1
Массовые обращения с распределения",2023-11-29 16:58:00,2023-11-29 17:28:00
2023-09-02,M00311886,D,"a611-23-msan22
г.Москва, улица Астрадамская, д.7А
10.30.108.133
Переход на ИБП
Прошлый МИ: M00311673",2023-11-29 17:28:00,2023-11-29 17:58:00
2023-09-02,M00311673,D,"a611-23-msan20
г.Москва, улица Астрадамская, д.7А
10.30.108.131
Переход на ИБП",2023-11-29 17:58:00,2023-11-29 18:28:00
2023-09-02,M00311674,D,"BatteryOffline
Отключены батареи в: 
a397-26-msan20
г.Москва, улица Ясеневая, д.42 к.1
10.30.70.196",2023-11-29 18:28:00,2023-11-29 18:58:00
2023-09-02,M00311882,D,"MSAN
a611-23-msan22
г.Москва, улица Астрадамская, д.7А
10.30.108.133
Недоступно оборудование.",2023-11-29 18:58:00,2023-11-29 19:28:00
2023-09-02,M00311892,D,"КСК некритическая авария ЭПУ
#77-700
г.Москва, улица Большая Косинская, д.14 стр.1
Авария Выпрямителей Powerpack",2023-11-29 19:28:00,2023-11-29 19:58:00
2023-09-02,M00311798,D,"BatteryOffline
Отключены батареи в: 
a126-26-msan20
г.Москва, улица Винокурова, д.12 к.1
10.30.5.67",2023-11-29 19:58:00,2023-11-29 20:28:00
2023-09-02,M00311684,D,"BatteryOffline
Отключены батареи в: 
a126-70-msan20
г.Москва, улица Гримау, д.9 к.1
10.30.6.230",2023-11-29 20:28:00,2023-11-29 20:58:00
2023-09-02,M00311689,D,Отклонение температурного режима на a716-25-msan20,2023-11-29 20:58:00,2023-11-29 21:28:00
2023-09-02,M00312016,D,"BatteryOffline
Отключены батареи в: 
a361-93-msan20
г.Москва, шоссе Энтузиастов, д.11А к.2
10.30.63.9",2023-11-29 21:28:00,2023-11-29 21:58:00
2023-09-02,M00311913,D,"КСК некритическая авария ЭПУ
#V-190-1
г.Москва, улица Авиационная, д.57 стр.1
Авария выпрямителя ЭПУ1 Powerpack",2023-11-29 21:58:00,2023-11-29 22:28:00
2023-09-02,M00312021,D,Отклонение температурного режима на a716-25-msan20,2023-11-29 22:28:00,2023-11-29 22:58:00
2023-09-03,M00311696,D,"MSAN
a468-18-msan20
г.Москва, шоссе Щелковское, д.88 к.2
10.30.95.130
Ошибка карты
Lineboard_H838ASPB_0_3_Failed",2023-11-29 22:58:00,2023-11-29 23:28:00
2023-09-03,M00311938,D,Отклонение температурного режима на a716-25-msan20,2023-11-29 23:28:00,2023-11-29 23:58:00
2023-09-03,M00311941,D,"OLT
A77-035-OLT451
г.Москва,  , к.1
Недоступно оборудование.",2023-11-29 23:58:00,2023-11-30 00:28:00
2023-09-03,M00311970,D,"BatteryPowerOFF(Probability_of_theft!)
Отключены батареи в: 
a323-03-msan26
г.Москва, улица Кантемировская, д.4 к.3
10.30.46.241",2023-11-30 00:28:00,2023-11-30 00:58:00
2023-09-04,M00312058,D,"a618-04-msan20
г.Москва, улица Руставели, д.9
10.30.154.53
Переход на ИБП",2023-11-30 00:58:00,2023-11-30 01:28:00
2023-09-04,M00312059,D,"MSAN

г.Москва, улица Руставели, д.9
10.30.154.59
Недоступно оборудование.",2023-11-30 01:28:00,2023-11-30 01:58:00
2023-09-04,M00312205,D,"FTTB UPS отсутствует входное напряжение 
10.17.213.28
г.Раменское, улица Пролетарская, д.49",2023-11-30 01:58:00,2023-11-30 02:28:00
